,ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,Partie,Chapitre,Section,size
112,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,TITRE DE JURISDICTION.,introduction,2
113,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,<front>,AVANT-PROPOS AU LECTEUR,,1
114,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE BRIEF DE MARIAGE ENCOMBRÉ.,V. C. XLIII.,1
115,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE DONATIONS.,CCCCXLIX.,1
116,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE PRESCRIPTIONS.,introduction,1
117,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SERVITVDES.,VI. C. XXII.,1
118,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,introduction,1
119,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,V. C XLVI.,2
120,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,V. C. LIX.,1
121,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,V. C. XLIX.,1
122,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,introduction,1
123,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,III.,1
124,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,pesnelle,COUTUME DE NORMANDIE.,CHAPITRE VINGT-DEUXIEME. DES EXECUTIONS PAR DÉCRET.,introduction,1
125,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,pesnelle,COUTUME DE NORMANDIE.,CHAPITRE VINGT-QUATRIEME. DE SERVITUDES.,DCXX.,1
126,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE DIXIEME, QVI, EST, DES IVGEMENS ET SENtences, et de l ’ execution tant d ’ icelles sentences, que de lettres obligatoires.",Des fentences et forme de iuger. Chap. I.,Ladite Coustume.,6
127,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.",De larcin. Chap. XX.,La Coustume au chapitre De Justice.,1
128,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.","De port d ’ armes, et amas de gens. Chap. XV.",François premier 1532.,1
129,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.",Loys xi. 1498. De la sentence es execution d icelles Chap. XXXIX.,Loys xi. 1498.,1
130,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs.",De bref de fief és de gage. Chap. XVIII.,La Coustume.,2
131,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs.","De clameur reuocatoire, co autres rescissions de contracts. Chap. XXVIII.",Au Style.,1
132,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance.","D ’ escriture de faicts, es appointement en faict ou en droict. Chap. XXVII.",L ’ Eschiquier 1462. et 1497.,1
133,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance.","De Cour, et du lieu à tenir iurisdiction. Chap. I.","La Coustume, au chapître De Cour.",2
134,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance.","De preuue qui se fait par enqueste, veuë cs ostension de lieux, Chap. XXXIII.",Ladite Coustume.,2
135,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE ONZIEME, QVI EST, D ’ APPELLATIONS ET DOleances en matieres ciuiles, à sortir deuant les Iuges suiets à la Cour.",Aucun titre.,François premier 1540.,1
136,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans.",De Droict et de Iustice. Chap. I.,La Coustume au chapitre De Justice.,2
137,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans.",De Droict et de Iustice. Chap. I.,La Coustume au premier chapitre.,11
138,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans.",De l ’ obseruance des ordonnances. Chap. IIII.,L ’ Eschiquier l ’ an 1463. et 1469.,1
139,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE QVINZIEME QVI EST, DE LA COVR DE PARLEMENT et Style de proceder en icelle.","De l ’ office des Presidens, es Onseilliers. Chap. III.",Charles viij.,1
140,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes.",Des Marchans. Chap. X.,"Charles ix-tenant ses Estats à Orléans, l ’ an 1560.",2
141,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes.",Des curateurs des prodigues et insensez Chap. VI.,synthese,1
142,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage.",D ’ empeschement de succession. Chap. VI.,"La Coustume sous mesme titre, et au titre De dons que peres sont à leurs enfans.",1
143,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,"LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage.",De Testamens. Chap. VII.,Au Style De proceder.,1
144,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice.,Des Officiers en general. Chap. III.,Suitte de ladite ordonnance des Roys Charles vij. viij. et xij.,1
145,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,terrien,LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice.,Des Officiers en general. Chap. III.,introduction,1
146,clem-alex,Clément d'Alexandrie (0150?-021.?),0150-01-01,0150-01-01,0250-01-01,0250-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,1
147,clement-1,Clément I (00..-0097? ; pape),0001-01-01,0099-01-01,0101-01-01,0199-01-01,basnage,coutume,DE PRESCRIPTIONS.,CCCCCXXI. Prescription quadragenaire.,1
148,curtius,Quinte-Curce (00..-00..),0001-01-01,0099-01-01,0001-01-01,0099-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLIX.,1
149,denis-le-petit,Denys le Petit (0497?-0545?),0497-01-01,0497-01-01,0545-01-01,0545-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXL.,1
150,diocletien,Dioclétien (0245-0313 ; empereur romain),0245-01-01,0245-01-01,0313-01-01,0313-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,3
151,diocletien,Dioclétien (0245-0313 ; empereur romain),0245-01-01,0245-01-01,0313-01-01,0313-01-01,basnage,coutume,TITRE DE JURISDICTION.,XXXI.,1
152,diocletien,Dioclétien (0245-0313 ; empereur romain),0245-01-01,0245-01-01,0313-01-01,0313-01-01,terrien,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs.","De clameur reuocatoire, co autres rescissions de contracts. Chap. XXVIII.",Au Style.,1
153,diod,Diodore de Sicile (0090?-0020? av. J.-C.),-0090-01-01,-0090-01-01,-0020-01-01,-0020-01-01,basnage,coutume,DE HARO.,introduction,1
154,diod,Diodore de Sicile (0090?-0020? av. J.-C.),-0090-01-01,-0090-01-01,-0020-01-01,-0020-01-01,basnage,coutume,DE VARECH.,introduction,1
155,ennius,"Ennius, Quintus (0239-0169 av. J.-C.)",-0239-01-01,-0239-01-01,-0169-01-01,-0169-01-01,basnage,coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,1
156,firmicus,"Firmicus Maternus, Julius",0300-01-01,0399-01-01,0400-01-01,0499-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,1
157,fortunat,Venance Fortunat (0530-0601 ; saint),0530-01-01,0530-01-01,0601-01-01,0601-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,1
158,galien,,0131-01-01,0131-01-01,0201-01-01,0201-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.","DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris.",CCCLXXXII.,1
159,gelase,,0400-01-01,0499-01-01,0500-01-01,0599-01-01,basnage,coutume,DE PATRONNAGE D ’ EGLISE.,LXIX. Temps de presenter les Patrons Laïques et Ecclesiastiques.,5
160,greg-1,Grégoire I (0540?-0604 ; pape),0540-01-01,0540-01-01,0604-01-01,0604-01-01,basnage,coutume,DE PATRONNAGE D ’ EGLISE.,LXIX. Temps de presenter les Patrons Laïques et Ecclesiastiques.,1
161,greg-1,Grégoire I (0540?-0604 ; pape),0540-01-01,0540-01-01,0604-01-01,0604-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,3
162,greg-1,Grégoire I (0540?-0604 ; pape),0540-01-01,0540-01-01,0604-01-01,0604-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XLVII.,1
163,greg-1,Grégoire I (0540?-0604 ; pape),0540-01-01,0540-01-01,0604-01-01,0604-01-01,pesnelle,COUTUME DE NORMANDIE.,CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX.,CXX.,1
164,greg-3,,0540-01-01,0540-01-01,0604-01-01,0604-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,2
165,halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060-01-01,0069-01-01,0160-01-01,0169-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CLXIX.,1
166,halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060-01-01,0069-01-01,0160-01-01,0169-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CLXVIII. Trois sortes d ’ aides.,1
167,halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060-01-01,0069-01-01,0160-01-01,0169-01-01,basnage,coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,1
168,halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060-01-01,0069-01-01,0160-01-01,0169-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CLXIX.,1
169,halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060-01-01,0069-01-01,0160-01-01,0169-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXXVI.,1
170,halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060-01-01,0069-01-01,0160-01-01,0169-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXXIX.,1
171,heliodore,,0200-01-01,0299-01-01,0200-01-01,0299-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,1
172,hermogenien,Hermogenianus (02..-03..),0200-01-01,0299-01-01,0200-01-01,0299-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,1
173,herodote,Hérodote (0484?-0420? av. J.-C.),-0484-01-01,-0484-01-01,-0420-01-01,-0420-01-01,basnage,coutume,"DE SUCCESSION EN PROPRE AU BAILLIAGE DE CAUX, ET AUTRES LIEUX TENANS NATURE D ’ ICELUY.",introduction,1
174,herodote,Hérodote (0484?-0420? av. J.-C.),-0484-01-01,-0484-01-01,-0420-01-01,-0420-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CLI.,1
175,herodote,Hérodote (0484?-0420? av. J.-C.),-0484-01-01,-0484-01-01,-0420-01-01,-0420-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,CCLXXV.,1
176,homere,Homère (08..?-08..? av. J.-C.),-0899-01-01,-0800-01-01,-0899-01-01,-0800-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,3
177,homere,Homère (08..?-08..? av. J.-C.),-0899-01-01,-0800-01-01,-0899-01-01,-0800-01-01,basnage,coutume,TITRE DE JURISDICTION.,XII.,1
178,homere,Homère (08..?-08..? av. J.-C.),-0899-01-01,-0800-01-01,-0899-01-01,-0800-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE TESTAMENS.,introduction,1
179,homere,Homère (08..?-08..? av. J.-C.),-0899-01-01,-0800-01-01,-0899-01-01,-0800-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XII.,1
180,homere,Homère (08..?-08..? av. J.-C.),-0899-01-01,-0800-01-01,-0899-01-01,-0800-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXXVIII.,1
181,homere,Homère (08..?-08..? av. J.-C.),-0899-01-01,-0800-01-01,-0899-01-01,-0800-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.","De simple querelle personnel, qui se fait pour bateries co mal-façons de corps. Chap. : XXVI.",La Coustume.,1
182,honorius,Honorius (0384-0423 ; empereur romain),0384-01-01,0384-01-01,0423-01-01,0423-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,3
183,honorius,Honorius (0384-0423 ; empereur romain),0384-01-01,0384-01-01,0423-01-01,0423-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CCX. Nouvelle construction de pescherie et moulin.,1
184,honorius,Honorius (0384-0423 ; empereur romain),0384-01-01,0384-01-01,0423-01-01,0423-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,introduction,1
185,honorius,Honorius (0384-0423 ; empereur romain),0384-01-01,0384-01-01,0423-01-01,0423-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE DONATIONS.,CCCCXLVI.,1
186,horace,Horace (0065-0008 av. J.-C.),-0065-01-01,-0065-01-01,-0008-01-01,-0008-01-01,basnage,coutume,DE HARO.,LIV. En quel cas le Haro peut être interjetté.,1
187,horace,Horace (0065-0008 av. J.-C.),-0065-01-01,-0065-01-01,-0008-01-01,-0008-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.","Des plaintes et accusations, cs de clameur de Haro en cas de crime. Chap. XVIII.",La Coustume aux chapitres De roberie et De suite de tre. enfrain.,2
188,horace,Horace (0065-0008 av. J.-C.),-0065-01-01,-0065-01-01,-0008-01-01,-0008-01-01,terrien,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs.",Des mandats apostoliques. Chap. XV.,Loys Xi. 1510 publ. l ’ an 1520.,1
189,hypocrate,Hippocrate (0460-0377 av. J.-C. ; médecin),-0460-01-01,-0460-01-01,-0377-01-01,-0377-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,1
190,inno-1,Innocent I (03..-0417 ; pape),0300-01-01,0399-01-01,0400-01-01,0499-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.","DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris.",CCCLXXVII.,1
191,isidore,Isidore de Séville (0560?-0636 ; saint),0560-01-01,0560-01-01,0636-01-01,0636-01-01,basnage,coutume,DE BANON ET DÉFENDS.,LXXXII. Les prez et terres non cultivées quand sont en défends.,1
192,isidore,Isidore de Séville (0560?-0636 ; saint),0560-01-01,0560-01-01,0636-01-01,0636-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,1
193,isidore,Isidore de Séville (0560?-0636 ; saint),0560-01-01,0560-01-01,0636-01-01,0636-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,CCXLIIII.,1
194,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE BREF DE MARIAGE ENCOMBRÉ.,"CCCCCXXXVIII. Contrats d ’ alienation du bien de la femme, quand sont vallables.",2
195,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE HARO.,introduction,1
196,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE PARTAGE D ’ HERITAGE.,CCCLVII. Action des soeurs pour leur mariage contre leurs freres,1
197,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE PATRONNAGE D ’ EGLISE.,LXIX. Temps de presenter les Patrons Laïques et Ecclesiastiques.,4
198,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE PATRONNAGE D ’ EGLISE.,introduction,3
199,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE PRESCRIPTIONS.,CCCCCXXI. Prescription quadragenaire.,1
200,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE PRESCRIPTIONS.,CCCCCXXII. Prescription en meuble.,1
201,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE PRESCRIPTIONS.,CCCCCXXIX. Action en partage ne se prescrit.,1
202,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE PRESCRIPTIONS.,introduction,6
203,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SERVITUDES.,DCVIII.,1
204,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCL. Que peut donner le pere mariant sa fille.,3
205,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCLI. Que peuvent donner les freres marians leurs soeurs.,1
206,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCLX. Fille reservée à succession doit rapporter.,1
207,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCLXXV.,1
208,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCLXXVII. Enfans des condamnez comment succedent.,1
209,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXLV. Distinction du paternel avec le maternel.,1
210,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXLVII. Comment les biens sont faits propres.,2
211,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXLVIII. Aux propres les mâles excluent les femelles.,1
212,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,12
213,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,introduction,1
214,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DES DONATIONS.,"CCCCXXXI. Quelles personnes peuvent donner entre vifs, quoy, et à qui.",4
215,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXL.,1
216,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,1
217,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLIII. Droit de confiscation à qui appartient et en quel cas écheoit.,3
218,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS.,CCCIV. Representation en ligne collaterale.,2
219,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS.,CCCXI.,1
220,justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482-01-01,0482-01-01,0565-01-01,0565-01-01,basnage,coutume,DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS.,CCCXX. Les neveux et autres êtans en pareil degré comment succedent.,1
