ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size,Localisation,Thème
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-DEUXIEME. DES EXECUTIONS PAR DÉCRET. > introduction,justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-QUATRIEME. DE SERVITUDES. > DCXX.,successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,6,"LIVRE DIXIEME, QVI, EST, DES IVGEMENS ET SENtences, et de l ’ execution tant d ’ icelles sentences, que de lettres obligatoires. > Des fentences et forme de iuger. Chap. I. > Ladite Coustume.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > De larcin. Chap. XX. > La Coustume au chapitre De Justice.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > De port d ’ armes, et amas de gens. Chap. XV. > François premier 1532.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > Loys xi. 1498. De la sentence es execution d icelles Chap. XXXIX. > Loys xi. 1498.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,2,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs. > De bref de fief és de gage. Chap. XVIII. > La Coustume.",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs. > De clameur reuocatoire, co autres rescissions de contracts. Chap. XXVIII. > Au Style.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance. > D ’ escriture de faicts, es appointement en faict ou en droict. Chap. XXVII. > L ’ Eschiquier 1462. et 1497.",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,2,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance. > De Cour, et du lieu à tenir iurisdiction. Chap. I. > La Coustume, au chapître De Cour.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,2,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance. > De preuue qui se fait par enqueste, veuë cs ostension de lieux, Chap. XXXIII. > Ladite Coustume.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE ONZIEME, QVI EST, D ’ APPELLATIONS ET DOleances en matieres ciuiles, à sortir deuant les Iuges suiets à la Cour. > Aucun titre. > François premier 1540.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,2,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans. > De Droict et de Iustice. Chap. I. > La Coustume au chapitre De Justice.",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,11,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans. > De Droict et de Iustice. Chap. I. > La Coustume au premier chapitre.",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans. > De l ’ obseruance des ordonnances. Chap. IIII. > L ’ Eschiquier l ’ an 1463. et 1469.",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE QVINZIEME QVI EST, DE LA COVR DE PARLEMENT et Style de proceder en icelle. > De l ’ office des Presidens, es Onseilliers. Chap. III. > Charles viij.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,2,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes. > Des Marchans. Chap. X. > Charles ix-tenant ses Estats à Orléans, l ’ an 1560.",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes. > Des curateurs des prodigues et insensez Chap. VI. > synthese",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage. > D ’ empeschement de succession. Chap. VI. > La Coustume sous mesme titre, et au titre De dons que peres sont à leurs enfans.",successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,"LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage. > De Testamens. Chap. VII. > Au Style De proceder.",successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice. > Des Officiers en general. Chap. III. > Suitte de ladite ordonnance des Roys Charles vij. viij. et xij.,société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1578 - Terrien,1,LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice. > Des Officiers en general. Chap. III. > introduction,société
clem-alex,Clément d'Alexandrie (0150?-021.?),150,150,250,250,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
clement-1,Clément I (00..-0097? ; pape),1,99,101,199,1678 - Basnage,1,coutume > DE PRESCRIPTIONS. > CCCCCXXI. Prescription quadragenaire.,propriété
curtius,Quinte-Curce (00..-00..),1,99,1,99,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLIX.,société
denis-le-petit,Denys le Petit (0497?-0545?),497,497,545,545,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXL.,société
diocletien,Dioclétien (0245-0313 ; empereur romain),245,245,313,313,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
diocletien,Dioclétien (0245-0313 ; empereur romain),245,245,313,313,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > XXXI.,justice
diocletien,Dioclétien (0245-0313 ; empereur romain),245,245,313,313,1578 - Terrien,1,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs. > De clameur reuocatoire, co autres rescissions de contracts. Chap. XXVIII. > Au Style.",justice
diod,Diodore de Sicile (0090?-0020? av. J.-C.),-90,-90,-20,-20,1678 - Basnage,1,coutume > DE HARO. > introduction,justice
diod,Diodore de Sicile (0090?-0020? av. J.-C.),-90,-90,-20,-20,1678 - Basnage,1,coutume > DE VARECH. > introduction,propriété
ennius,"Ennius, Quintus (0239-0169 av. J.-C.)",-239,-239,-169,-169,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
firmicus,"Firmicus Maternus, Julius",300,399,400,499,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
fortunat,Venance Fortunat (0530-0601 ; saint),530,530,601,601,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,société
galien,galien,131,131,201,201,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris. > CCCLXXXII.",douaire
gelase,gelase,400,499,500,599,1678 - Basnage,5,coutume > DE PATRONNAGE D ’ EGLISE. > LXIX. Temps de presenter les Patrons Laïques et Ecclesiastiques.,société
greg-1,Grégoire I (0540?-0604 ; pape),540,540,604,604,1678 - Basnage,1,coutume > DE PATRONNAGE D ’ EGLISE. > LXIX. Temps de presenter les Patrons Laïques et Ecclesiastiques.,société
greg-1,Grégoire I (0540?-0604 ; pape),540,540,604,604,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
greg-1,Grégoire I (0540?-0604 ; pape),540,540,604,604,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XLVII.",justice
greg-1,Grégoire I (0540?-0604 ; pape),540,540,604,604,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX. > CXX.,société
greg-3,greg-3,540,540,604,604,1678 - Basnage,2,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),60,69,160,169,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CLXIX.,société
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),60,69,160,169,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CLXVIII. Trois sortes d ’ aides.,société
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),60,69,160,169,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),60,69,160,169,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CLXIX.",société
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),60,69,160,169,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXXVI.",société
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),60,69,160,169,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXXIX.",justice
heliodore,heliodore,200,299,200,299,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,société
hermogenien,Hermogenianus (02..-03..),200,299,200,299,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
herodote,Hérodote (0484?-0420? av. J.-C.),-484,-484,-420,-420,1678 - Basnage,1,"coutume > DE SUCCESSION EN PROPRE AU BAILLIAGE DE CAUX, ET AUTRES LIEUX TENANS NATURE D ’ ICELUY. > introduction",successions
herodote,Hérodote (0484?-0420? av. J.-C.),-484,-484,-420,-420,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CLI.",société
herodote,Hérodote (0484?-0420? av. J.-C.),-484,-484,-420,-420,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCLXXV.",successions
homere,Homère (08..?-08..? av. J.-C.),-899,-800,-899,-800,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
homere,Homère (08..?-08..? av. J.-C.),-899,-800,-899,-800,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > XII.,justice
homere,Homère (08..?-08..? av. J.-C.),-899,-800,-899,-800,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE TESTAMENS. > introduction",successions
homere,Homère (08..?-08..? av. J.-C.),-899,-800,-899,-800,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XII.",justice
homere,Homère (08..?-08..? av. J.-C.),-899,-800,-899,-800,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXXVIII.",justice
homere,Homère (08..?-08..? av. J.-C.),-899,-800,-899,-800,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > De simple querelle personnel, qui se fait pour bateries co mal-façons de corps. Chap. : XXVI. > La Coustume.",société
honorius,Honorius (0384-0423 ; empereur romain),384,384,423,423,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
honorius,Honorius (0384-0423 ; empereur romain),384,384,423,423,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CCX. Nouvelle construction de pescherie et moulin.,société
honorius,Honorius (0384-0423 ; empereur romain),384,384,423,423,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > introduction,société
honorius,Honorius (0384-0423 ; empereur romain),384,384,423,423,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DONATIONS. > CCCCXLVI.",successions
horace,Horace (0065-0008 av. J.-C.),-65,-65,-8,-8,1678 - Basnage,1,coutume > DE HARO. > LIV. En quel cas le Haro peut être interjetté.,justice
horace,Horace (0065-0008 av. J.-C.),-65,-65,-8,-8,1578 - Terrien,2,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > Des plaintes et accusations, cs de clameur de Haro en cas de crime. Chap. XVIII. > La Coustume aux chapitres De roberie et De suite de tre. enfrain.",justice
horace,Horace (0065-0008 av. J.-C.),-65,-65,-8,-8,1578 - Terrien,1,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs. > Des mandats apostoliques. Chap. XV. > Loys Xi. 1510 publ. l ’ an 1520.",justice
hypocrate,Hippocrate (0460-0377 av. J.-C. ; médecin),-460,-460,-377,-377,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
inno-1,Innocent I (03..-0417 ; pape),300,399,400,499,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris. > CCCLXXVII.",douaire
isidore,Isidore de Séville (0560?-0636 ; saint),560,560,636,636,1678 - Basnage,1,coutume > DE BANON ET DÉFENDS. > LXXXII. Les prez et terres non cultivées quand sont en défends.,propriété
isidore,Isidore de Séville (0560?-0636 ; saint),560,560,636,636,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
isidore,Isidore de Séville (0560?-0636 ; saint),560,560,636,636,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCXLIIII.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,"coutume > DE BREF DE MARIAGE ENCOMBRÉ. > CCCCCXXXVIII. Contrats d ’ alienation du bien de la femme, quand sont vallables.",mariage
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE HARO. > introduction,justice
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE PARTAGE D ’ HERITAGE. > CCCLVII. Action des soeurs pour leur mariage contre leurs freres,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,4,coutume > DE PATRONNAGE D ’ EGLISE. > LXIX. Temps de presenter les Patrons Laïques et Ecclesiastiques.,société
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,3,coutume > DE PATRONNAGE D ’ EGLISE. > introduction,société
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE PRESCRIPTIONS. > CCCCCXXI. Prescription quadragenaire.,propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE PRESCRIPTIONS. > CCCCCXXII. Prescription en meuble.,propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE PRESCRIPTIONS. > CCCCCXXIX. Action en partage ne se prescrit.,propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,6,coutume > DE PRESCRIPTIONS. > introduction,propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SERVITUDES. > DCVIII.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCL. Que peut donner le pere mariant sa fille.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLI. Que peuvent donner les freres marians leurs soeurs.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLX. Fille reservée à succession doit rapporter.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLXXV.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLXXVII. Enfans des condamnez comment succedent.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXLV. Distinction du paternel avec le maternel.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,coutume > DE SUCCESSIONS EN PROPRE > CCXLVII. Comment les biens sont faits propres.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXLVIII. Aux propres les mâles excluent les femelles.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,12,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > introduction,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,4,"coutume > DES DONATIONS. > CCCCXXXI. Quelles personnes peuvent donner entre vifs, quoy, et à qui.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXL.,société
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,société
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,3,coutume > DES FIEFS ET DROITS FEODAUX > CXLIII. Droit de confiscation à qui appartient et en quel cas écheoit.,société
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,coutume > DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS. > CCCIV. Representation en ligne collaterale.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS. > CCCXI.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS. > CCCXX. Les neveux et autres êtans en pareil degré comment succedent.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,3,coutume > DES TESTAMENS. > CCCCXII. Forme et solennité de Testament.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,3,coutume > DES TESTAMENS. > CCCCXIII.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DES TESTAMENS. > CCCCXIV. Quelles personnes peuvent tester de meuble et comment.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,"coutume > DES TESTAMENS. > CCCCXXII. Disposition par testament du tiers des acquests comment permise, à qui, et au profit de qui.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DES TESTAMENS. > CCCCXXVII. Disposition d ’ héritage comment est permise par testament.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,"coutume > DU BENEFICE D ’ INVENTAIRE. > LXXXVI. Benefice d ’ inventaire, et diligences requises en iceluy.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DU BENEFICE D ’ INVENTAIRE. > XC.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,"coutume > DU BENEFICE D ’ INVENTAIRE. > XCII. L ’ heritier par benefice d ’ inventaire est tenu faire inventaire, et dans quel temps.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCCIV. Tiers des biens appartenant à la femme acquis aux enfans.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCCV. Femme que peut donner à son second mary.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,7,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,coutume > DU DOUAIRE. > CCCLXVIII. De quel jour est dû.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,coutume > DU DOUAIRE. > CCCLXXVII.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXXII. Droit de viduitè appartenant au mary.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,coutume > DU DOUAIRE. > CCCXCIX. Doüaire propre aux enfans.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,coutume > DU DOUAIRE. > introduction,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,2,coutume > TITRE DE JURISDICTION. > XIII.,justice
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1678 - Basnage,5,coutume > TITRE DE JURISDICTION. > introduction,justice
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE BENEFICE D ’ INVENTAIRE > LXXXVI.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE BRIEF DE MARIAGE ENCOMBRÉ. > V. C. XXXVIII.",mariage
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DONATIONS. > CCCCXLIIII.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DONATIONS. > CCCCXLVI.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris. > CCCLXXXII.",douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE PRESCRIPTIONS. > V. C. XXI.",propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE PRESCRIPTIONS. > V. C. XXXII.",propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCXLIX.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCXLV.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > introduction",justice
